cveid,year,hash,desc,link,publishedDate
6555,2007,0b29669c065f60501e7289e1950fa2a618962358,"drivers/media/video/videobuf-vmalloc.c in the Linux kernel before 2.6.24 does not initialize videobuf_mapping data structures, which allows local users to trigger an incorrect count value and videobuf leak via unspecified vectors, a different vulnerability than CVE-2010-5321.",http://github.com/torvalds/linux/commit/0b29669c065f60501e7289e1950fa2a618962358,2017-04-24T06:59Z
6556,2007,2a2f11c227bdf292b3a2900ad04139d301b56ac4,"In the Linux kernel before 2.6.20, there is an off-by-one bug in net/netlabel/netlabel_cipso_v4.c where it is possible to overflow the doi_def->tags[] array.",http://github.com/torvalds/linux/commit/2a2f11c227bdf292b3a2900ad04139d301b56ac4,2019-07-27T22:15Z
