cveid,year,hash,desc,link,publishedDate
3583,2006,4dcc29e1574d88f4465ba865ed82800032f76418,The ia64 subsystem in the Linux kernel before 2.6.26 allows local users to cause a denial of service (stack consumption and system crash) via a crafted application that leverages the mishandling of invalid Register Stack Engine (RSE) state.,http://github.com/torvalds/linux/commit/4dcc29e1574d88f4465ba865ed82800032f76418,2017-08-07T03:29Z
5226,2006,6c4841c2b6c32a134f9f36e5e08857138cc12b10,"The altivec_unavailable_exception function in arch/powerpc/kernel/traps.c in the Linux kernel before 2.6.19 on 64-bit systems mishandles the case where CONFIG_ALTIVEC is defined and the CPU actually supports Altivec, but the Altivec support was not detected by the kernel, which allows local users to cause a denial of service (panic) by triggering execution of an Altivec instruction.",http://github.com/torvalds/linux/commit/6c4841c2b6c32a134f9f36e5e08857138cc12b10,2017-10-29T06:29Z
